indicator,year,geography,fips,race,sex,age_group,misc,rate,cases,population
AIDS deaths,2003,North Dakota,38,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.5,8,530557
AIDS deaths,2003,Northern Mariana Islands,69,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,62677
AIDS deaths,2003,Ohio,39,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.9,273,9433101
AIDS deaths,2003,Oklahoma,40,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,3.8,110,2868825
AIDS deaths,2003,Oregon,41,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,118,2946163
AIDS deaths,2003,Pennsylvania,42,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.9,716,10356890
AIDS deaths,2003,Puerto Rico,72,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,21.2,661,3122955
AIDS deaths,2003,Rhode Island,44,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,48,895585
AIDS deaths,2003,South Carolina,45,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,9.8,336,3419249
AIDS deaths,2003,South Dakota,46,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0.3,2,629905
AIDS deaths,2003,Tennessee,47,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.3,351,4837552
AIDS deaths,2003,Texas,48,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,7.1,1253,17566043
AIDS deaths,2003,U.S. Virgin Islands,78,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,13.8,12,86709
AIDS deaths,2003,Utah,49,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.1,21,1834149
AIDS deaths,2003,Vermont,50,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.3,7,521074
AIDS deaths,2003,Virginia,51,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.6,342,6093344
AIDS deaths,2003,Washington,53,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4,202,5037673
AIDS deaths,2003,West Virginia,54,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.8,43,1527546
AIDS deaths,2003,Wisconsin,55,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,96,4535759
AIDS deaths,2003,Wyoming,56,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,1.2,5,414034
AIDS deaths,2004,Alabama,1,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,6.8,254,3725740
AIDS deaths,2004,Alaska,2,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,2.1,11,531838
AIDS deaths,2004,American Samoa,60,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,0,0,41493
AIDS deaths,2004,Arizona,4,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,5.4,253,4646226
AIDS deaths,2004,Arkansas,5,All races/ethnicities,Both sexes,Ages 13 years and older,All transmission categories,4.2,95,2260440
